"(Parent) ASIN","(Child) ASIN","Title","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Unit Session Percentage","Ordered Product Sales","Total Order Items"
"B08XNSK68G","B08XNSK68G","NANOCLEAN Face Shield, Anti-fog Full Face Shield, Universal Face Protective for Eye Head Face Protection, Anti-Spitting ,Fog Resistant Splash Facial Cover for Women, Men Nasoshield with Flexible","165","10.98%","186","10.21%","93%","88","53.33%","Rs. 8,569.35","46"
"B08WJB7XCN","B08WJ8NX9J","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filteration Face Mask with earloop for Men and Women (Black-Pack Of 01)","77","5.12%","89","4.88%","92%","42","54.55%","Rs. 5,895.12","39"
"B08WJB7XCN","B08WJ87MTH","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filteration Face Mask with earloop for Men and Women (Black-Pack Of 04)","31","2.06%","41","2.25%","93%","20","64.52%","Rs. 8,555.92","20"
"B08WJB7XCN","B08WJ85RDQ","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filteration Face Mask with earloop for Men and Women (Black-Pack Of 03)","58","3.86%","72","3.95%","92%","18","31.03%","Rs. 7,687.34","17"
"B08WL9QJPX","B08WLBGCKK","NANOCLEAN AC Filter with Nanofiber Technology for Removing Dust | Compatible with Window and Split AC, 2 units in a Pack (Pack Of 01)","76","5.06%","94","5.16%","100%","22","28.95%","Rs. 8,609.44","17"
"B08WJB7XCN","B08WJ8M856","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filteration Face Mask with earloop for Men and Women (Black-Pack Of 02)","54","3.59%","63","3.46%","95%","12","22.22%","Rs. 3,575.29","12"
"B08WJ2Y37T","B08WHRWVC1","NANOCLEAN Nasofilter with Nanofiber Technology up to 12 Hours Protection from Air Pollution, Dust (Large | Pack of 24)","12","0.80%","20","1.10%","100%","16","133.33%","Rs. 5,068.26","10"
"B08WJB7XCN","B08WJ7QFNC","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filteration Face Mask with earloop for Men and Women (Black-Pack Of 06)","81","5.39%","89","4.88%","94%","10","12.35%","Rs. 7,565.08","10"
"B08WJ2Y37T","B08WHV55Q9","NANOCLEAN Nasofilter with Nanofiber Technology up to 12 Hours Protection from Air Pollution, Dust(Medium | Pack of 6)","10","0.67%","13","0.71%","100%","8","80.00%","Rs. 630.00","8"
"B08WJC7FVH","B08WJ9RCM8","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filtration Face Mask with headloop for Men and Women(Black-Pack Of 04)","5","0.33%","5","0.27%","80%","8","160.00%","Rs. 4,286.72","8"
"B078X6P86R","B078X6P86R","NANOCLEAN GLOBAL Nasofilters (Medium, Brown)","55","3.66%","78","4.28%","91%","13","23.64%","Rs. 4,290.00","7"
"B08WJ8NJ79","B08WJ8J2CN","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filtration Face Mask and headloop for Men and Women (White-Pack Of 02)","5","0.33%","6","0.33%","67%","8","160.00%","Rs. 1,964.00","7"
"B08WJ2Y37T","B08WHM2K5L","NANOCLEAN Nasofilter with Nanofiber Technology up to 12 Hours Protection from Air Pollution, Dust (Medium | Pack of 24)","14","0.93%","22","1.21%","100%","8","57.14%","Rs. 2,535.00","6"
"B08WJB7XCN","B08WJ7VDJT","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filteration Face Mask with earloop for Men and Women (Black-Pack Of 05)","21","1.40%","23","1.26%","87%","7","33.33%","Rs. 4,556.00","6"
"B08WJ2Y37T","B08WHLV142","NANOCLEAN Nasofilter with Nanofiber Technology up to 12 Hours Protection from Air Pollution, Dust (Large | Pack of 6)","11","0.73%","12","0.66%","100%","5","45.45%","Rs. 432.00","5"
"B08WJ8NJ79","B08WJ81XJT","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filtration Face Mask and headloop for Men and Women (White-Pack Of 01)","80","5.32%","92","5.05%","98%","4","5.00%","Rs. 476.00","4"
"B08WJC7FVH","B08WJ8N54T","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filtration Face Mask with headloop for Men and Women (Black-Pack Of 01)","10","0.67%","13","0.71%","100%","4","40.00%","Rs. 596.00","4"
"B08WLRMN3S","B08WLS6XWT","NANOCLEAN Pollution Net for Mesh Window in 4x4.5 ft with Nanofiber Layer Protection from PM 2.5, Dust, UV Rays, Pollens, Rainwater","8","0.53%","13","0.71%","85%","5","62.50%","Rs. 19,540.00","4"
"B08WJC7FVH","B08WJ8CB4R","NANOCLEAN N95 Anti Pollution Nasomask with Protective soft and comfortable 5 layer filtration Face Mask with headloop for Men and Women(Black-Pack Of 06)","5","0.33%","6","0.33%","83%","3","60.00%","Rs. 2,415.00","3"
